"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages"
"HTC One A9","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 28(700), 38(2600), 40(2300), 41(2500) - EMEA/ Asia","GSM 850 / 900 / 1800 / 1900 ","LTE band 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 29(700) - Americas","HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100 - Americas","HSPA, LTE","GSM / HSPA / LTE","Coming soon. Exp. release 2015, November","Nano-SIM","HSDPA 850 / 900 / 1900 / 2100 ","2015, September","145.8 x 70.8 x 7.3 mm (5.74 x 2.79 x 0.29 in)","143 g (5.04 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes","AMOLED capacitive touchscreen, 16M colors","5.0 inches (~66.8% screen-to-body ratio)","Qualcomm MSM8952 Snapdragon 617","Android OS, v6.0 (Marshmallow)","Octa-core 1.5 GHz Cortex-A53","Adreno 405","16 GB, 2 GB RAM","microSD, up to 200 GB","4 MP, 1080p","1080p@30fps","13 MP, 4128 x 3096 pixels, optical image stabilization, autofocus, dual-LED (dual tone) flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","microUSB v2.0","","v4.1, A2DP, apt-X","FM radio","Yes, with A-GPS, GLONASS","SMS (threaded view), MMS, Email, Push Email","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 432 h (3G)","Non-removable Li-Ion 2150 mAh battery","Up to 16 h (3G)","<a href=""#"">9/10</a>","Carbon Gray, Opal Silver, Topaz Gold, Deep Garnet","","","","","","","","","
0.41 W/kg (head)     ","","Corning Gorilla Glass 4","","","","","",""
"LG G Vista 2","Yes","GSM 850 / 900 / 1800 / 1900 ","HSPA, LTE"," HSDPA","Yes","GSM / HSPA / LTE","Coming soon. Exp. release 2015, November","Yes"," LTE","2015, October","-","-","1080 x 1920 pixels (~386 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.7 inches","Qualcomm MSM8939 Snapdragon 615","Android OS, (Lollipop)","Octa-core","Adreno 405","16 GB, 2 GB RAM","microSD","5 MP","1080p@30fps","13 MP, 4128 x 3096 pixels, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, Wi-Fi Direct, hotspot","microUSB v2.0","","v4.0, A2DP","No","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, proximity, compass, color spectrum","No","HTML5","","","","","Metallic Black","","","","","","","","","","","","","","","","",""
"Oppo R7s","LTE band 1(2100), 2(1900), 4(1700/2100), 7(2600), 17(700) - USA","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 28(700), 38(2600), 39(1900), 40(2300), 41(2500) - Taiwan","HSDPA 850 / 900 / 1900 / 2100 - Global, Taiwan, USA","HSPA, LTE Cat4 150/50 Mbps","GSM / HSPA / LTE","Coming soon. Exp. release 2015, November","Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300) - Global","2015, October","151.8 x 75.4 x 7 mm (5.98 x 2.97 x 0.28 in)","155 g (5.47 oz)","1080 x 1920 pixels (~401 ppi pixel density)","Yes","AMOLED capacitive touchscreen, 16M colors","5.5 inches (~72.9% screen-to-body ratio)","Qualcomm MSM8939 Snapdragon 615","Android OS, v5.1 (Lollipop)","Quad-core 1.5 GHz Cortex-A53 & quad-core 1.0 GHz Cortex-A53","Adreno 405","32 GB, 4 GB RAM","microSD, up to 128 GB (uses SIM 2 slot)","8 MP","1080p@30fps","13 MP, 4128 x 3096 pixels, phase detection autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, WiFi Direct, hotspot","microUSB v2.0, USB Host","","v4.0","No","Yes, with A-GPS","SMS (threaded view), MMS, Email, Push Email","Accelerometer, proximity, compass","No","HTML5","","Non-removable Li-Po 3070 mAh battery","","","Golden","","","","","","","","","","","Corning Gorilla Glass 3","","","","","",""
"ZTE Blade S7","HSPA 42.2/11.5 Mbps, LTE Cat4 150/50 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2"," LTE","HSDPA 900 / 2100 ","Yes","GSM / HSPA / LTE","Available. Released 2015, October","Dual SIM (Nano-SIM, dual stand-by)","HSDPA 850 / 2100 ","2015, October","142 x 67 x 7.2 mm (5.59 x 2.64 x 0.28 in)","131 g (4.62 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~72.4% screen-to-body ratio)","Qualcomm MSM8939 Snapdragon 615","Android OS, v5.1 (Lollipop)","Quad-core 1.5 GHz Cortex-A53 & quad-core 1.0 GHz Cortex-A53","Adreno 405","32 GB, 3 GB RAM","microSD, up to 64 GB (uses SIM 2 slot)","13 MP, 1080p@30fps","1080p@30fps","13 MP, 4128 x 3096 pixels, autofocus, LED flash","Geo-tagging, touch focus, face detection, HDR, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","microUSB v2.0","","v4.0, A2DP, LE","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","","Non-removable Li-Ion 2500 mAh battery","","<a href=""#"">6/10</a>","Various","","","","","","","","","","","","","","","","",""
"Meizu metal","HSPA 42.2/5.76 Mbps, LTE Cat4 150/50 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","LTE band 1(2100), 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)","HSDPA 850 / 900 / 1900 / 2100 ","Yes","GSM / HSPA / LTE","Available. Released 2015, October","Dual SIM (Nano-SIM, dual stand-by)"," TD-SCDMA","2015, October","150.7 x 75.3 x 8.2 mm (5.93 x 2.96 x 0.32 in)","162g (5.71 oz)","1080 x 1920 pixels (~401 ppi pixel density)","Yes","LTPS capacitive touchscreen, 16M colors","5.5 inches (~73.5% screen-to-body ratio)","Mediatek MT6795 Helio X10","Android OS, v5.1 (Lollipop)","Octa-core 2.0 GHz Cortex-A53","PowerVR G6200","16/32 GB, 2 GB RAM","microSD, up to 128 GB (uses SIM 2 slot)","5 MP, 1080p","1080p@30fps","13 MP, 4208 x 3120 pixels, autofocus, dual-LED (dual tone) flash","Geo-tagging, touch focus, face detection, HDR, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","microUSB v2.0, USB Host","","v4.1, A2DP, LE","No","Yes, with A-GPS, GLONASS, Beidou","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, gyro, proximity, compass","No","HTML5","","Non-removable Li-Ion 3140 mAh battery","","<a href=""#"">3/10</a>","White, Gold, Gray, Blue, Pink","","","","","","","","","","","Scratch-resistant glass","","","","","",""
"Samsung Galaxy J1 Ace","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 21.1/5.76 Mbps, LTE Cat4 150/50 Mbps","HSDPA 850 / 900 / 2100 ","Yes","GSM / HSPA / LTE","Available. Released 2015, October","Dual SIM (Micro-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 5(850), 7(2600), 8(900), 20(800), 40(2300)","2015, September","130.1 x 67.6 x 9.5 mm (5.12 x 2.66 x 0.37 in)","131 g (4.62 oz)","480 x 800 pixels (~217 ppi pixel density)","Yes","Super AMOLED capacitive touchscreen, 16M colors","4.3 inches (~59.8% screen-to-body ratio)","","Android OS, v4.4.4 (KitKat)","Quad-core 1.2 GHz","","4 GB, 768 MB RAM","microSD, up to 128 GB","2 MP","720p@30fps","5 MP, 2592 х 1944 pixels, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB v2.0","","v4.0, A2DP","FM radio with RDS; recording","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, proximity","No","HTML","Up to 10 h (3G)","Li-Ion 1900 mAh battery","Up to 68 h","<a href=""#"">3/10</a>","White, Black, Blue","","","","","","","","","","","","","","","","",""
"LG Nexus 5X","HSDPA 800 / 850 / 900 / 1700(AWS) / 1800 / 1900 / 2100 - Global model","GSM 850 / 900 / 1800 / 1900 - all models","HSDPA 850 / 900 / 1900 / 2100 - Asian model","CDMA 800 / 1900 - American model","LTE band 1(2100), 2(1900), 3(1800), 4(1700/2100), 5(850), 7(2600), 12(700), 13(700), 17(700), 20(800), 25(1900), 26(850), 29(700) - American model","GSM / CDMA / HSPA / LTE","Available. Released 2015, October","Nano-SIM","HSDPA 850 / 900 / 1700 / 1900 / 2100 - American model","2015, September","147 x 72.6 x 7.9 mm (5.79 x 2.86 x 0.31 in)","136 g (4.80 oz)","1080 x 1920 pixels (~424 ppi pixel density)","Yes","Capacitive touchscreen, 16M colors","5.2 inches (~69.8% screen-to-body ratio)","Qualcomm MSM8992 Snapdragon 808","Android OS, v6.0 (Marshmallow)","Quad-core 1.44 GHz Cortex-A53 & dual-core 1.82 GHz Cortex-A57","Adreno 418","16/32 GB, 2 GB RAM","No","5 MP","2160p@30fps","12.3 MP, laser autofocus, dual-LED (dual tone) flash","1.55µm pixel size, geo-tagging, touch focus, face detection, HDR, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","v2.0, Type-C 1.0 reversible connector","","v4.2, A2DP","No","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, gyro, proximity, compass, barometer","No","HTML5","","Non-removable Li-Po 2700 mAh battery","","<a href=""#"">8/10</a>","Carbon, Quartz, Ice","","","","","","","","","","","Corning Gorilla Glass 3, oleophobic coating","","Yes","","","",""
"Gionee Elife E8","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA, LTE Cat4 150/50 Mbps","HSDPA 900 / 1900 / 2100 ","Yes","GSM / HSPA / LTE","Available. Released 2015, October","Dual SIM (Micro-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 7(2600), 20(800), 38(2600), 39(1900), 40(2300), 41(2500)","2015, June","164 x 82.3 x 9.6 mm (6.46 x 3.24 x 0.38 in)","210 g (7.41 oz)","1440 x 2560 pixels (~490 ppi pixel density)","Yes","AMOLED capacitive touchscreen, 16M colors","6.0 inches (~73.5% screen-to-body ratio)","Mediatek MT6795 Helio X10","Android OS, v5.1 (Lollipop)","Octa-core 2 GHz Cortex-A53","PowerVR G6200","64 GB, 3 GB RAM","microSD, up to 128 GB","8 MP, autofocus","2160p@30fps","24 MP, 5696 x 4272 pixels, optical image stabilization, phase detection autofocus, dual-LED (dual tone) flash","Geo-tagging, touch focus, face/smile detection, panorama, HDR","Yes, with stereo speakers","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","microUSB v2.0, USB Host","","v4.0, A2DP, EDR","FM radio; recording","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 437 h (2G) / Up to 500 h (3G)","Li-Po 3500 mAh battery","","<a href=""#"">8/10</a>","Various","","","","","","","","","","","","","Yes","","","",""
"LG V10","Yes","GSM 850 / 900 / 1800 / 1900 ","HSPA 42.2/5.76 Mbps, LTE Cat6 300/50 Mbps","HSDPA 850 / 900 / 1900 / 2100 ","Yes","GSM / HSPA / LTE","Available. Released 2015, October","Yes"," LTE","2015, October","159.6 x 79.3 x 8.6 mm (6.28 x 3.12 x 0.34 in)","192 g (6.77 oz)","1440 x 2560 pixels (~515 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.7 inches (~70.8% screen-to-body ratio)","Qualcomm MSM8992 Snapdragon 808","Android OS, v5.1.1 (Lollipop)","Quad-core 1.44 GHz Cortex-A53 & dual-core 1.82 GHz Cortex-A57","Adreno 418","64 GB, 4 GB RAM","microSD, up to 128 GB","5 MP Duo","2160p@30fps, 1080p@60fps, optical stabilization, HDR, stereo sound rec.","16 MP, 5312 x 2988 pixels, laser autofocus, optical image stabilization, LED flash","1/2.6' sensor size, geo-tagging, touch focus, face/smile detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","microUSB v2.0","Yes","v4.1, A2DP, LE, apt-X","To be confirmed","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, gyro, proximity, compass, color spectrum","No","HTML5","","Li-Ion 3000 mAh battery","","<a href=""#"">9/10</a>","Space Black, Luxe White, Modern Beige, Ocean Blue, Opal Blue","","","","","","","","","","","Corning Gorilla Glass 4","","Yes","","","",""
"Lenovo Phab Plus","Yes","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA, LTE Cat4 150/50 Mbps","HSDPA 850 / 900 / 1900 / 2100 ","Yes","GSM / HSPA / LTE","Available. Released 2015, October","Dual SIM (Nano-SIM/ Micro-SIM, dual stand-by)","LTE band 1(2100), 3(1800), 7(2600), 38(2600), 39(1900), 40(2300), 41(2500)","2015, September","186.6 x 96.6 x 7.6 mm (7.35 x 3.80 x 0.30 in)","229 g (8.08 oz)","1080 x 1920 pixels (~324 ppi pixel density)","Yes","IPS capacitive touchscreen, 16M colors","6.8 inches (~70.7% screen-to-body ratio)","Qualcomm MSM8939 Snapdragon 615","Android OS, v5.0 (Lollipop)","Quad-core 1.5 GHz Cortex-A53 & quad-core 1.0 GHz Cortex-A53","Adreno 405","32 GB, 2 GB RAM","microSD, up to 64 GB (uses SIM 2 slot)","5 MP","Yes","13 MP, 4128 x 3096 pixels, autofocus, dual-LED (dual tone) flash","Geo-tagging, touch focus, face detection, HDR, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, WiFi Direct, hotspot","microUSB v2.0","","v4.0, A2DP","FM radio","Yes, with A-GPS, GLONASS","SMS(threaded view), MMS, Email, Push Mail, IM","Accelerometer, proximity, compass","No","HTML5","Up to 480 h (3G)","Non-removable Li-Po 3500 mAh battery","","<a href=""#"">6/10</a>","Gunmetal Grey, Titanium Silver, Champagne Gold","","","","","","","","","","","","","","","","",""
